网页标题和屏幕名称,查看次数,用户数,新用户数,每位用户的浏览量,平均互动时长,唯一身份用户滚动次数,事件数,转化次数,总收益
Proud Kitty Gang $MINT giveaway,35725,15484,14040,2.3072203564970300,61.48094807543270,13459,144531,0,0
Soulmeta & Encentive $1500 NFTs+Blind boxes coupons Airdrop,19806,5318,3579,3.724332455810460,54.996239187664500,4760,66230,0,0
GenkiBox Beta Test NFT Giveaway,12587,6237,6175,2.0181176847843500,52.846079846079800,4469,46585,0,0
Rh!noX NFT discount & U Giveaway,8270,1639,1540,5.045759609518000,95.88590604026850,1290,25751,0,0
GENKI TWITTER SPACE X WOWSWAP X BETAMARS,8168,3439,2810,2.3751090433265500,60.4036056993312,2876,31624,0,0
GENKI TWITTER SPACE X ONTO WALLET X SIL FINANCE,7642,2899,1765,2.6360814073818600,86.45429458433940,2492,28676,0,0
ZEBRA X VERA MYSTERY BOX GIVEAWAY,6500,2722,1720,2.387950036737690,92.10029390154300,2288,25454,0,0
GENKI TWITTER SPACE X AIRNFTS X APESWAP,6268,2215,1019,2.8297968397291200,83.90835214446950,1946,22958,0,0
(not set),5802,4000,5,1.4505,28.96575,287,12192,0,0
GENKI TWITTER SPACE X ENERGY8 X BETFURY,5299,2246,954,2.3593054318789000,74.09394479073910,1902,20893,0,0
GENKI TWITTER SPACE X FREEDOM X VERA,5297,2393,1303,2.213539490179690,80.87630589218550,1992,21124,0,0
GENKI TWITTER SPACE X ACS X PROUD KITTY GANG,4764,2305,893,2.066811279826460,66.09327548806940,1911,19087,0,0
The Project Galaxy & RhizomeDAO AMA Giveaway,3762,1520,1043,2.475,64.27763157894740,1329,13349,0,0
BetFury x Biswap Challenge!,3165,1498,1403,2.1128170894526000,56.4739652870494,1200,12198,0,0
TELEPORT HIT 20K Giveaway,2689,1184,940,2.271114864864870,45.070945945945900,1098,9451,0,0
BABYSWAP X GENKI AMA CAMPAIGN,1502,629,555,2.3879173290938000,46.879173290938,521,5376,0,0
WOWmax Airdrop Program,1354,374,172,3.620320855614970,59.07486631016040,312,4256,0,0
Genki ✖️ BabyWealthyClub 20 NFT Whitelists Giveaway,1091,578,275,1.8875432525951600,66.39965397923880,497,4122,0,0
GenkiBox Demo Campaign,1089,463,304,2.352051835853130,52.40820734341250,391,3876,0,0
Soulmeta & Bit.store $1500 NFTs+Blind boxes coupons Airdrop,987,350,207,2.82,35.94857142857140,299,3222,0,0
TeleportNetwork community Call Giveaway,789,300,211,2.63,39.36,268,2709,0,0
AirNFTs x BabyWealthyClub 20 NFT Whitelists Giveaway,709,211,184,3.360189573459720,74.39336492891000,192,2549,0,0
Apecoinflip Bounty Program,577,223,113,2.587443946188340,40.31390134529150,195,1936,0,0
Goodfellas Mint Pass Giveaway,551,240,132,2.2958333333333300,43.4125,209,1972,0,0
Monster Go X AirNFTs,549,153,91,3.588235294117650,64.28104575163400,134,1737,0,0
텔레포트 커뮤니티 Pre-heat 캠페인,539,147,126,3.6666666666666700,88.51700680272110,126,1728,0,0
